price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
1.99,6.03,gastheiz cerveza rubia artesana de vitoria elaborada con patata botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,gastheiz,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201802/23/00118603002439____1__40x40.jpg,El Corte Ingles,yes,1178,artesana 
2.82,8.55,quijota cerveza morena artesana de castilla la mancha botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,quijota,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201711/10/00118603001993____1__40x40.jpg,El Corte Ingles,yes,1179,artesana 
2.19,6.64,marijuana cerveza artesana de avila con tequila y cañamo botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,marijuana,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201710/26/00118603002025____6__40x40.jpg,El Corte Ingles,yes,1180,artesana 
2.22,6.73,moli balear cerveza blanca extra botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,moli balear,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201909/24/00118603000946____1__40x40.jpg,El Corte Ingles,yes,1181,others
2.62,7.94,dolina cerveza tostada de burgos botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,dolina,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/15/00118603001233____1__325x325.jpg,El Corte Ingles,yes,1182,others
2.1,6.36,icue cerveza rubia tipo pale ale de cartagena botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,icue,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201406/05/00118603000763____1__325x325.jpg,El Corte Ingles,yes,1183,others
2.0,6.06,icue carthago cerveza rubia tipo pale ale de cartagena botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,icue,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201601/04/00118603001282____1__325x325.jpg,El Corte Ingles,yes,1184,others
2.57,7.79,bizantina cerveza negra artesana botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,bizantina,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201909/24/00118603000797____1__325x325.jpg,El Corte Ingles,yes,1185,negra artesana 
0.64,1.94,amstel oro cerveza tostada lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,amstel oro,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201910/04/00118603100472____2__325x325.jpg,El Corte Ingles,yes,1186,others
0.87,2.64,amstel oro cerveza tostada botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,amstel oro,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201910/04/00118603100498____2__325x325.jpg,El Corte Ingles,yes,1187,others
2.1,6.36,ambar 10 cerveza tostada artesana de zaragoza colección ambiciosas botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,ambar ambiciosa,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202008/04/00118603003510____1__40x40.jpg,El Corte Ingles,yes,1188,artesana 
0.57,2.28,turia märzen cerveza tostada de valencia botella 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,turia,botella,25 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201410/08/00118603100449____1__40x40.jpg,El Corte Ingles,yes,1189,others
0.69,2.09,turia cerveza tostada de valencia lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,turia,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201507/02/00118600301552____1__40x40.jpg,El Corte Ingles,yes,1190,others
9.41,28.52,mahou maestra cerveza tostada doble lúpulo pack 12 latas 33 cl ,Lleva 3 packs de cerveza Mahou Maestra 12x33cl + 1 estuche de vino tinto crianza Cune 3x75 cl por 28 €. Ahorra 19 €Añade ambos artículos a tu cesta ¡pulsa aquí!..SECOND OFFERT: 25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou maestra,lata,33 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201805/18/00118603100548____6__40x40.jpg,El Corte Ingles,yes,1191,others
1.04,3.15,mahou maestra cerveza tostada doble lúpulo botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou maestra,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201603/31/00118602800726____1__40x40.jpg,El Corte Ingles,yes,1192,others
0.83,2.52,mahou maestra cerveza tostada doble lúpulo lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,mahou maestra,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201906/11/00118602700181____3__40x40.jpg,El Corte Ingles,yes,1193,others
0.85,2.58,san miguel selecta cerveza tostada extra maduración en bodega botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel selecta,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201607/08/00118602800387____1__40x40.jpg,El Corte Ingles,yes,1194,others
0.8,2.42,san miguel selecta cerveza tostada extra maduración en bodega lata 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,san miguel selecta,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201607/08/00118600300935____1__40x40.jpg,El Corte Ingles,yes,1195,others
4.49,3.4,alhambra reserva cerveza tostada roja pack 4 botellas 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,alhambra roja,botella,33 cl,4,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201805/18/00118603100530____3__40x40.jpg,El Corte Ingles,yes,1196,others
2.69,8.15,chimay azul cerveza tostada trapense belga botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,chimay,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202006/25/00118603100308____3__40x40.jpg,El Corte Ingles,yes,1197,others
